사업명,사업목적,지원내용,지원대상,지원조건,지원규모_신규(단위-억원),지원규모_계속(단위-억원),지원규모_합계(단위-억원),공고시작년월,공고종료년월,접수시작년월,접수종료년월,평가시작년월,평가종료년월,협약및사업비지급시작년월,협약및사업비지급종료년월
국가표준기술개발및보급,"(국가표준기술력향상) 우리 기술의 대외경쟁력 강화와 글로벌 新시장 선점을 위해 표준화 정책 수립, 국제표준(ISO/IEC) 개발·제안 등을 지원 / (국제표준화협력) 주요 표준 선도국가와의 전략적 파트너십 구축을 통한 첨단분야 국제표준 공동 개발, 국제표준 포럼 구성·운영 등을 지원","국가표준기술력향상 : (표준화 연구개발) 글로벌 시장을 선도할 수 있는 국내기술의 국제표준(안)을 개발하여 국제표준화기구 (ISO/IEC 등)에 제안, (표준기반조성) 우리기술 및 제품의 국제표준화를 위한 정책·제도 발굴, 국제동향·이슈 대응, 국제협력 등 국제표준화 기반 구축 / 국제표준화협력 : 국제협력을 통한 표준 선점이 필요한 ‘양자기술’ 분야","기업, 대학, 연구소, 시험연구원, 협회, 연구조합, 사업자단체 등",[국가표준기술력향상] - (표준화연구개발) 1.2억원/년 내외(1차년 : 0.9억원 이내) - (표준기반조성) 3.0억원/년 내외(1차년 : 2.25억원 이내) / [국제표준화협력] - 3.6억원/년 내외(1차년 : 2.77억원 이내) ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내,119.79,411.21,531,2025-01-25,2025-01-25,2025-02-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25
국제표준기반 시험장비 기술개발 및 고도화 지원사업,국가 첨단산업의 빠른 성장을 지원할 수 있도록 국제적 수준의 시험평가 장비개발을 통한 첨단제품의 수출 증대 및 국내 장비 업체의 경쟁력 강화,"산업용 네트워크, 전력반도체, 차세대 모빌리티 분야 등 시험장비 개발","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 2.16억원 내외, 총 개발기간 1년  ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",36,0,36,2025-02-25,2025-02-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
글로벌재활용규제대응플라스틱밸류업을위한혁신기술개발,글로벌 규제 대응 석유화학제품인 폐플라스틱 재활용 산업 전반에 혁신적 기술개발을 통해 석유화학 산업의 새로운 가치 창조,폐플라스틱 재활용 산업 가치사슬(수거→선별→재생제품 생산/판매) 전반에 혁신적 기술을 개발·적용하여 석유화학 산업의 새로운 가치 창조,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 21억원 내외, 총 개발기간 45개월 이내 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",12,0,12,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
글로벌진출형탄소순환바이오산업소재제품개발및실증사업,바이오산업소재의 사용 후 수거·선별과 바이오공정기술 적용 탄소순환(사용 회수 분해 유용자원화)하는 실증프로세스 개발과 이를 활용한 전과정(LCA) 평가 기술 개발을 통해 국내 생분해성 플라스틱 산업의 기술경쟁력 강화와 신시장 창출,"바이오공정 기반 전주기 탄소순환 플랫폼 기술개발 : 바이오산업제품 수거·선별 시스템 및 탄소순환기술 실증 기술 개발, 바이오산업소재 바이오분해 촉진 및 가스 분리정제 기술 개발, 바이오매스기반 요소 생산 및 호기성 퇴비화 공정기술 개발 및 바이오공정 기반 탄소순환 전과정평가","기업, 대학, 연구기관 등","과제당 연간 9억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",26.7,0,26.7,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
기계장비산업기술개발사업,주력산업 생산활동의 기반인 제조장비 및 산업용기계 관련 핵심기술개발과 실증지원을 통해 주력산업의 자립화와 고부가가치화 도모,"제조기반생산시스템 : 반도체, 자동차, 조선 등 우리나라 수출 주력산업과 신산업의 부품·제품 생산활동에 기반을 제공하는 생산장비 및 산업용 기계·시스템의 상용화를 위한 핵심기술개발 지원 / 기계제조장비실증 : 해외의존도가 높은 분야의 기계장비와 핵심부품의 상용화를 위해 해당 부품의 수요-공급 기업을 대상으로 기개발된 R&D 성과물의 실증을 통한 Track-record 확보 및 고도화 지원 / 제조장비산업 전주기기술개발 : 제조장비 핵심기술 사업화 촉진을 위해 전략품목에 대한 핵심품목의 설계 및 신뢰성 검증지원과 수요-공급 협력기반의 고부가장비 신뢰성체계 구축 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조 제1항 제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 3~5년(단, 기계제조장비실증사업은 1년) ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",393.9,1188.54,1582.44,2025-01-25,2025-07-25,2025-01-25,2025-07-25,2025-03-25,2025-08-25,2025-04-25,2025-04-25
농업기계디지털전환향개방형A-SW오픈소스및협력개발서비스플랫폼구축,정밀농업으로의 패러다임 변화로 인한 전북특별자치도 주축산업인 농업기계 디지털 산업전환 기술의 고도화 및 산학연 협업 지역생태계 구축을 통한 관련기업의 기술 수준과 수출 경쟁력 제고,"농업기계디지털전환향개방형 A-SW오픈소스및협력개발서비스플랫폼구축 : 농기계 산업의 디지털 산업전환 핵심기술인 전기구동 플랫폼, 자율주행 및 ISOBUS 등 자동화 관련 개방형 A-SW 오픈소스 개발 및 배포로 신속제품(rapid prototype) 개발지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조 제1항 제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관",세부과제별 지원규모 및 지원기간은 공고 시 별도 안내,3,0,3,2025-01-25,2025-03-25,2025-01-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
디자인산업기술개발사업,디자인융합 혁신 기술개발 지원을 통해 시장 및 수요자를 만족하는 고부가가치를 창출하여 디자인 기반 미래성장동력 확보와 디자인 산업 역량 강화,"디자인혁신역량강화 : 디자인 과정을 혁신하는 핵심기술* 개발 및 글로벌 신시장 창출이 가능한 도전적 디자인 제품·서비스 개발 * (8大 디자인 핵심기술 중점투자) AI 디자인 생성, CMF구현, 인간공학설계, 프로토타이핑, 디자인-생산연동, 에코디자인패키징, 소비자·트렌드분석적용, 디자인협업플랫폼 / CMF 디자인핵심기술개발 : 급격한 시장 변화에 즉각 대응 가능한 CMF 디자인 솔루션 및 핵심기술 개발을 지원하여 사용자 오감을 충족하는 고급·혁신 감성 소재 및 제품 발굴","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 6억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",189.42,127.6,317.02,2025-01-25,2025-04-25,2025-02-25,2025-05-25,2025-03-25,2025-06-25,2025-04-25,2025-06-25
로봇산업기술개발사업,로봇분야 첨단융합제품·부품·원천기술 및 기반구축을 집중 지원하여 산업경쟁력을 제고하고 미래 신산업을 육성,"로봇산업핵심기술개발사업 : 다양한 로봇 응용분야의 범부처 수요와 연계하고 성장·유망분야 핵심 로봇 제품 및 다양한 로봇 제품의 기반이 되는 원천 및 공통기술 개발 지원 / 빅데이터활용마이스터 로봇화기반구축 : 旣구축 뿌리기계에 빅데이터ㆍ로봇 기술을 적용하여 숙련공의 노하우를 디지털화ㆍ자동화할 수 있도록 기반 구축 / 재난및위험작업현장근로자의사고방지를위한안전로봇기술개발 : 소방 현장에서 현장 대원을 보조하여 안전한 재난 대응, 2차 사고 방지를 위한 소방안전 로봇 기술개발 및 현장 활용 / 사회적약자자립지원로봇기술개발 : 노인·장애인 등 사회적 약자 자립 지원을 목표로 일상생활에 필요한 보조 업무 지원 및 로봇 신시장 창출을 위한 로봇 제품 기술개발","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",242.46,1243.66,1486.12,2025-06-25,2025-06-25,2025-01-25,2025-07-25,2025-03-25,2025-08-25,2025-04-25,2025-04-25
무기발광디스플레이기술개발및생태계구축사업(R&D),"OLED 이후 차세대 기술로 주목받는 무기발광(iLED) 디스플레이 상용화를 위한 핵심기술 확보 및 마이크로LED 全 공정 실증 인프라 구축 / 무기발광 디스플레이 화소제조, 고속 패널생산, 초대형 모듈러 초격차 기술 확보 및 산업 생태계 조성","무기발광디스플레이기술개발및생태계구축 : 무기발광 디스플레이 화소, 패널 제조, 모듈 3개 분야 초격차 기술개발 및 마이크로LED 실증 인프라 구축 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 평균 4년(최대 8년) ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",180,0,180,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
알키미스트+(미래판기술프로젝트),"향후 10~20년 내 新시장을 형성할 전략기술이 티핑포인트에 미리 도달하여 신산업 생태계를 구축할 수 있도록 통합솔루션(요소기술, 실증·시제품, 생산공정 등) 종합 개발·지원",단순 기술이 아닌 사업 목적(新시장 창출 및 기존산업 혁신)에 부합한 테마,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 *  주관기관이 기업인 경우는 접수 마감일 현재 법인사업자이어야 하며, 평가위원회 개최일 이전에 기업부설연구소 보유 필요",총 개발기간 3~8년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 및 단계평가를 통해 조정 ,50,0,50,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
민관공동투자반도체고급인력양성(R&D),"대학·연구기관 석·박사 인력을 통해 기업수요형 R&D 과제 연구를 수행함으로써, 초격차 핵심기술개발 및 석박사 고급 인력양성 병행","메모리반도체, 시스템반도체, 반도체공정장비, 반도체 소재 분야 기술개발","대학, 연구기관 등","과제당 연간 2억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",45.97,119.32,165.29,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
바이오산업기술개발,국가 성장전략에 기반하여 바이오 분야의 핵심·원천기술 개발에 대한 집중 지원을 통해 미래 신산업을 육성하고 주력기간산업의 산업 경쟁력을 제고하여 미래 신성장 동력 창출,"맞춤형진단·치료제품 : 개량바이오의약품 개발, 개량의약기술 기반 치료제 및 감염병, 난치성 질환 치료제 관련 기술개발, 글로벌 진출형 바이오베터 개발 등 / 디지털헬스케어 : 빅데이터, AI, ICT 등 융복합 기술을 활용한 맞춤형 헬스케어 서비스, 디지털 치료제, 건강관리 제품·서비스 개발, 서비스 실증 등 / 첨단바이오신소재 : 생물체·자연유래 원료를 활용한 친환경 산업(의료·화학 등) 고도화를 위해 첨단 신소재 개발 및 제품화","기업, 대학, 연구소 등 - 단, 세부 내역사업별 특성에 따라 신청자격은 제한 또는 상이할 수 있으며, 상세 내용은 해당 세부사업 신규공고 시 안내 예정임","5년 이내 - 단, 신규 과제 지원 기준이며 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",576.78,706.13,1282.91,2025-01-25,2025-03-25,2025-03-25,2025-05-25,2025-04-25,2025-06-25,2025-04-25,2025-06-25
바이오파운드리인프라및활용기반구축사업,"바이오파운드리 인프라 구축 운영을 통해, 바이오 연구개발 및 사업화 속도를 제고하고 국내기업 혁신을 견인하여 바이오경제 시대를 선도","바이오파운드리 인프라 구축 : 바이오파운드리 센터 내 자동화 장비를 도입한 뒤, DBTL 단계별 핵심 워크플로 및 바이오파운드리 통합플랫폼을 개발하여 국가바이오파운드리 기반을 마련 / 바이오파운드리 산업생태계 확산 : 바이오파운드리 산업생태계 확산을 위한 전문인력 양성, 바이오제조 성능 검증 연구","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",51.7,0,51.7,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
바이오파운드리 핵심기기 및 장비 고도화 기술개발,"바이오파운드리 파이프라인에서 활용되는 핵심기기와 장비를 자립화, 고도화하고 자동화, 지능화, 기기 간 연결 기술 등 디지털화 기술을 개발하여, 세계적으로 기술 개발 초기인 합성생물학 분야의 연구개발 및 사업화 속도를 높여, 국내 바이오 분야의 디지털 전환과 생태계 조성을 촉진하여 세계 신시장을 견인",바이오파운드리용 장비 및 디지털트랜스포메이션(산업부) : 바이오파운드리 ‘설계-제작-시험-학습’ 파이프라인에 사용될 핵심 기기 및 장비의 국산화 및 시스템 표준화 기술개발 / 바이오파운드리용 장비 원천기술확보(과기부) : 국내 기술 기반의 바이오파운드리 핵심기기 및 장비 개발을 위한 원천 요소 기술 개발,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",41.85,0,41.85,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
반도체첨단패키징선도기술개발사업(R&D),"반도체 미세공정 한계극복과 차세대 시스템 반도체 초격차를 위한 초격차 패키징 기술 확보 추진 및 고성능 AI 반도체 제조산업을 이끌어 갈 고집적, 고기능, 저전력화 첨단 패키징 초격차 전략기술 확보","기술선도형첨단패키징기술개발 아직 상용화되지 않았으나 선진 경쟁사에서 개발 중이거나 5년에서 10년 사이에 상용화될 가능성이 높은 차세대 패키지 핵심 기술에 대한 선제적 기술개발 지원/기술자립형 첨단패키징기술개발 : 글로벌 선진 종합 반도체 기업이 양산 중인 고부가 모듈 구현에 필요한 첨단패키징 기술과 검사, 테스트 등의 소재, 부품, 장비 공급망 내재화 기술개발 지원 / 글로벌기술확보형 첨단패키징기술개발 : 첨단패키징 시장 지배력을 위한 글로벌 주요 기관과의 기술 검증 플랫폼 구축, 국제 첨단패키징 로드맵 작업 등 기술협력 활동 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 3~7년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",178,0,178,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
산업기술R&D 연구기획사업,"초격차 프로젝트, 경제안보 필수기술 확보 등 산업부 핵심정책 및 정부 R&D 투자방향에 맞는 신규 R&D 사업의 사전기획 연구지원",전분야/전분야,"대학, 연구소, 산업체 등",과제 특성에 따라 차등 지원,16.45,0,16.45,2025-03-25,2025-10-25,2025-03-25,2025-10-25,2025-04-25,2025-10-25,2025-05-25,2025-12-25
산업기술알키미스트프로젝트,10~20년 후 미래 산업의 판도를 바꿀 수 있는 경제적·사회적 파급효과가 큰 도전·혁신적 핵심원천기술개발을 통해 미래 신시장·신산업 영역 창출,미래 산업·사회의 판도를 바꿀 지원 대상 테마와 관련된 산업기술 全분야,"(주관) 대학, 연구소 등 비영리, (공동) 제한 없음","1단계(개념연구, 2억원 내외/9개월), 2단계(선행연구, 5억원 내외/1년), 3단계(본 연구 연간 40억원/5년)",33.75,447.45,481.2,2025-01-25,2025-02-25,2025-02-25,2025-03-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25
